trade_date,board_id,board_name,board_type,classification_system,open,high,low,close,volume,amount,turnover,constituent_count,positive_constituent_share,negative_constituent_share,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2026-04-21,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4000000000,0.6000000000,-0.0020530005,0.0161700186,0.0113429463,industry_indices,baostock,2026-04-21,2026-04-21,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-21,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.6620560000,50,0.4000000000,0.6000000000,-0.0020530005,0.0161700186,0.0113429463,market_turnover_proxy,baostock,2026-04-21,2026-04-21,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-22,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5600000000,0.4400000000,0.0022334652,0.0254124748,0.0111585668,market_breadth_proxy,baostock,2026-04-22,2026-04-22,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-22,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5600000000,0.4400000000,0.0022334652,0.0254124748,0.0111585668,industry_indices,baostock,2026-04-22,2026-04-22,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-22,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.8648620000,50,0.5600000000,0.4400000000,0.0022334652,0.0254124748,0.0111585668,market_turnover_proxy,baostock,2026-04-22,2026-04-22,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-23,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.2600000000,0.7200000000,0.0043832356,0.0337465430,0.0106555979,market_breadth_proxy,baostock,2026-04-23,2026-04-23,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-23,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.2600000000,0.7200000000,0.0043832356,0.0337465430,0.0106555979,industry_indices,baostock,2026-04-23,2026-04-23,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-23,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.9975480000,50,0.2600000000,0.7200000000,0.0043832356,0.0337465430,0.0106555979,market_turnover_proxy,baostock,2026-04-23,2026-04-23,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-24,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4400000000,0.5400000000,0.0225867205,0.0291029287,0.0106586964,market_breadth_proxy,baostock,2026-04-24,2026-04-24,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-24,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4400000000,0.5400000000,0.0225867205,0.0291029287,0.0106586964,industry_indices,baostock,2026-04-24,2026-04-24,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
