candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,readiness_status,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,non_actionable_disclaimer
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,identity,true,conditionally_useful,0.060944,0.65,3,1000,1.0,false,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,cross_sectional_zscore,false,conditionally_useful,0.060944,0.65,3,1000,1.0,false,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,cross_sectional_rank,false,conditionally_useful,0.064817,0.65,3,1000,1.0,false,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__horizon_specific,volatility_adjusted_momentum,winsorized_zscore,false,conditionally_useful,0.064184,0.7,3,1000,1.0,false,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,identity,true,not_ready,0.051553,0.5,2,780,1.0,false,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,not_ready,0.051553,0.5,2,780,1.0,false,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,not_ready,0.054356,0.5,2,780,1.0,false,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__liquidity_filtered,volatility_adjusted_momentum,winsorized_zscore,false,not_ready,0.05563,0.55,2,780,1.0,false,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,identity,true,not_ready,0.054122,0.6,3,260,1.0,false,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,cross_sectional_zscore,false,not_ready,0.054122,0.6,3,260,1.0,false,research_only
